name,url,remote,city,short_description,start_date,end_date,registration_deadline,speakers,sponsors,ticket_price,is_paid,themes
World Summit AI USA,https://usa.worldsummit.ai/,False,San Francisco,"Join pioneering thinkers at the only global gathering focused on driving real, meaningful change in AI.",2025-06-18,2025-06-19,,"[{'name': 'Alex Iftimie', 'company': 'OpenAI', 'title': 'Deputy General Counsel'}, {'name': 'Gary Marcus', 'company': 'NYU', 'title': 'Professor Emeritus'}, {'name': 'Nina Jankowicz', 'company': 'The American Sunlight Project', 'title': 'Co-Founder & CEO'}, {'name': 'Ben Goertzel', 'company': 'ASI Alliance & TrueAGI', 'title': 'CEO'}, {'name': 'Divya Chander', 'company': 'Lucidify', 'title': 'CEO & Founder'}, {'name': 'Stuart Russell', 'company': 'Berkeley University', 'title': 'Professor of Computer Science'}, {'name': 'Pablos Holman', 'company': 'Deep Future', 'title': 'Managing Partner'}, {'name': 'Andrew Hessel', 'company': 'Genome Project-write', 'title': 'Chairman'}, {'name': 'Payal Arora', 'company': 'Utrecht University', 'title': 'Professor of Inclusive AI Cultures'}, {'name': 'Srujana Kaddevarmuth', 'company': 'Walmart', 'title': 'President & Group Director Machine Learning Center of Excellence'}, {'name': 'Robert Silvers', 'company': 'Ropes & Gray', 'title': 'Partner & Former Under Secretary for Policy, U.S. Department of Homeland Security'}, {'name': 'Vanessa Parli', 'company': 'Stanford Institute for Human-Centered AI', 'title': 'Director of Research'}]",[],"[{'label': 'Early Bird', 'price': '$99'}, {'label': 'Standard', 'price': '$199'}]",True,[]
Generative AI Summit,https://world.aiacceleratorinstitute.com/location/newyork,False,New York,Connect with NYC's applied ecosystem. Validate your ideas. Deploy powerful products.,2025-06-05,2025-06-05,,"[{'name': 'Ash Dhupar', 'company': 'Analog Devices', 'title': 'Chief Data & Analytics Officer'}, {'name': 'Philipp Schmid', 'company': 'Google Deepmind', 'title': 'Developer Experience'}, {'name': 'Archie Mayani', 'company': 'GHX', 'title': 'Chief Product Officer'}, {'name': 'Frank Indiviglio', 'company': 'NOAA: National Oceanic & Atmospheric Administration', 'title': 'Chief Technology Officer'}, {'name': 'Joseph Nelson', 'company': 'Roboflow', 'title': 'CEO & Co-Founder'}, {'name': 'Drew Proud', 'company': 'Google Deepmind', 'title': 'Senior Engineer, AI Safety'}, {'name': 'Tim Sehn', 'company': 'DoltHub', 'title': 'Founder & CEO'}, {'name': 'Jyothsna Padmakumar Bindu', 'company': 'BNY Mellon', 'title': 'VP, Data Science'}, {'name': 'Yuki Mitsufuji, PhD', 'company': 'Sony', 'title': 'VP, AI Research'}, {'name': 'Akhil Khunger', 'company': 'Barclays', 'title': 'VP, QA Financial Modelling'}, {'name': 'Stavros Zervoudakis', 'company': 'NYU & ex-VP AI', 'title': 'Assistant Professor'}, {'name': 'Dr. Denise Turley', 'company': None, 'title': 'VP; Executive Tech Leader'}, {'name': 'Srebrina Tanova', 'company': 'Warner Bros. Discovery', 'title': 'Senior Director, Engineering'}, {'name': 'Akash Sharma', 'company': 'Vellum', 'title': 'CEO & Founder'}, {'name': 'Misam Abbas', 'company': 'LinkedIn', 'title': 'Staff AI Engineer'}]",[],"[{'label': 'Early Bird', 'price': '$99'}, {'label': 'Standard', 'price': '$199'}]",True,[]
