name,url,source,remote,city,short_description,prizes,sponsors,judges,start_date,end_date,registration_deadline,themes,scraping_method,format
HP & NVIDIA Developer Challenge,https://hpaistudio.devpost.com/?ref_feature=challenge&ref_medium=discover,devpost,True,,"Transform Industries Through AI - Build, Innovate, Deploy with HP AI Studio and NVIDIA.","['$70,000 in cash']","['HP', 'NVIDIA']",[],,2025-06-09,2025-06-09,"['Machine Learning/AI', 'Enterprise', 'Open Ended']",firecrawl,
GenAI Hackathon by Impetus & AWS,https://impetusawsgenaihackathon.devpost.com/?ref_feature=challenge&ref_medium=discover,devpost,True,,Join the world’s most innovative and challenging GenAI hackathon—powered by Impetus and AWS.,"['$10,000 in cash for 1st Prize', '$2,000 in cash for 2nd Prize', '$1,000 in cash for 3rd Prize']","['Impetus Technologies Inc.', 'Amazon Web Services']","[{'name': 'Raghvendra Singh', 'company': 'Impetus', 'title': 'Senior Solutions Architect'}, {'name': 'Sujit Singh', 'company': 'AWS', 'title': 'Partner Solutions Architect'}, {'name': 'Josh Demuth', 'company': 'AWS', 'title': 'Sr GenAI Specialist SA'}, {'name': 'Gitika Vijh', 'company': 'AWS', 'title': 'Sr. Partner Solutions Architect - Data & Analytics'}, {'name': 'Vivek Gupta', 'company': 'Impetus', 'title': 'Data Scientist'}, {'name': 'Ravishankar Rao Vallabhajosyula', 'company': 'Impetus', 'title': 'Senior Director, Data Science'}, {'name': 'Dmitrii Timoshenko', 'company': 'AWS', 'title': 'Applied Scientist – Data: Science and Engineering'}, {'name': 'Anand Sourabh', 'company': 'Marsh & McLennan Companies', 'title': 'VP Application Development'}]",,,2025-07-10,"['Enterprise', 'DevOps', 'Machine Learning/AI']",firecrawl,
Adobe Express Add-ons Hackathon,https://adobeexpress.devpost.com/?ref_feature=challenge&ref_medium=discover,devpost,True,,"An exciting opportunity for developers, designers, and creative builders to bring their idea to life and shape the future of Adobe Express.","['$30,000 in prizes', '$5,000 Most valuable to Express users', '$5,000 Best AI-enhanced experience', '$5,000 Best integration or workflow hack', '$5,000 Best new video innovation', '$5,000 Collaboration Catalyst', ""$5,000 'Express Yourself' wildcard""]",['Adobe'],"[{'name': 'Taylor Krusen', 'company': 'Adobe', 'title': 'Sr Developer Advocate'}, {'name': 'Ruben Rincon giraldo', 'company': 'Adobe', 'title': 'Group Product Manager'}, {'name': 'Steph Corrales', 'company': 'Adobe', 'title': 'Sr Experience Designer'}, {'name': 'Holly Schinsky', 'company': 'Adobe', 'title': 'Sr DevRel Engineer'}, {'name': 'Alex Castanheira', 'company': 'Adobe', 'title': 'Platform Partnership'}, {'name': 'Gloria Wang', 'company': 'Adobe', 'title': 'Sr Software Engineer'}, {'name': 'Tate Masi', 'company': 'Adobe', 'title': 'Sr Product Manager'}]",,2025-07-15,2025-07-15,"['Design', 'Machine Learning/AI', 'Web']",firecrawl,
Black Wings,https://rewritingthecode.org/black-wings/,mlh,True,,"The Black Wings group is for Black women in technology majors to share experiences and advice, have a familiar community within the tech industry, and gain support from having a group of women with shared interests.",[],[],[],,,,[],requests,
IBM TechXchange Dev Day: AI and Automation Unpacked + Hackathon,https://www.hackathon.com/event/ibm-techxchange-dev-day-ai-and-automation-unpacked-hackathon-683e113621d3916e2dd69794,hackathon_com,True,,"Join IBM TechXchange Dev Day for a full day of technical content designed for developers, engineers, and data scientists, featuring expert-led sessions and hands-on demos.","['$10,000 prize pool']",[],[],2025-06-25,2025-06-29,,"['AI agents', 'automation', 'AI on IBM Z']",requests,
